transaction_id,account_id,department_id,period_id,transaction_date,amount,transaction_type,description,journal_entry_id
TXN0001,ACC001,DEPT02,PER001,2024-01-24,210716.5,Credit,Software Subscriptions - Jan 2024,JE1000
TXN0002,ACC002,DEPT06,PER001,2024-01-05,35491.68,Credit,Professional Services Revenue - Jan 2024,JE1001
TXN0003,ACC003,DEPT06,PER001,2024-01-19,26698.24,Credit,Support & Maintenance Revenue - Jan 2024,JE1002
TXN0004,ACC004,DEPT06,PER001,2024-01-03,10747.11,Credit,Training & Certification Revenue - Jan 2024,JE1003
TXN0005,ACC005,DEPT01,PER001,2024-01-18,36352.6,Debit,Cloud Infrastructure - Jan 2024,JE1004
TXN0006,ACC006,DEPT07,PER001,2024-01-08,10645.7,Debit,Third-Party Software Licenses - Jan 2024,JE1005
TXN0007,ACC007,DEPT06,PER001,2024-01-26,32010.98,Debit,Professional Services Delivery - Jan 2024,JE1006
TXN0008,ACC008,DEPT02,PER001,2024-01-23,135461.97,Debit,Salaries & Benefits - Jan 2024,JE1007
TXN0009,ACC009,DEPT03,PER001,2024-01-05,26204.49,Debit,Marketing & Advertising - Jan 2024,JE1008
TXN0010,ACC010,DEPT06,PER001,2024-01-04,3374.18,Debit,Travel & Entertainment - Jan 2024,JE1009
TXN0011,ACC011,DEPT08,PER001,2024-01-12,12870.39,Debit,Rent & Facilities - Jan 2024,JE1010
TXN0012,ACC012,DEPT04,PER001,2024-01-26,11205.77,Debit,Software & SaaS Tools - Jan 2024,JE1011
TXN0013,ACC013,DEPT09,PER001,2024-01-18,3386.76,Debit,Legal & Professional Fees - Jan 2024,JE1012
TXN0014,ACC014,DEPT08,PER001,2024-01-03,4483.84,Debit,Depreciation & Amortization - Jan 2024,JE1013
TXN0015,ACC001,DEPT02,PER002,2024-02-19,212185.71,Credit,Software Subscriptions - Feb 2024,JE1014
TXN0016,ACC002,DEPT06,PER002,2024-02-02,33316.61,Credit,Professional Services Revenue - Feb 2024,JE1015
TXN0017,ACC003,DEPT06,PER002,2024-02-03,26164.9,Credit,Support & Maintenance Revenue - Feb 2024,JE1016
TXN0018,ACC004,DEPT06,PER002,2024-02-13,16925.09,Credit,Training & Certification Revenue - Feb 2024,JE1017
TXN0019,ACC005,DEPT01,PER002,2024-02-06,38796.81,Debit,Cloud Infrastructure - Feb 2024,JE1018
TXN0020,ACC006,DEPT01,PER002,2024-02-22,13064.28,Debit,Third-Party Software Licenses - Feb 2024,JE1019
TXN0021,ACC007,DEPT06,PER002,2024-02-20,28008.17,Debit,Professional Services Delivery - Feb 2024,JE1020
TXN0022,ACC008,DEPT07,PER002,2024-02-24,124003.63,Debit,Salaries & Benefits - Feb 2024,JE1021
TXN0023,ACC009,DEPT03,PER002,2024-02-13,22176.29,Debit,Marketing & Advertising - Feb 2024,JE1022
TXN0024,ACC010,DEPT10,PER002,2024-02-23,3800.67,Debit,Travel & Entertainment - Feb 2024,JE1023
TXN0025,ACC011,DEPT08,PER002,2024-02-27,16108.78,Debit,Rent & Facilities - Feb 2024,JE1024
TXN0026,ACC012,DEPT01,PER002,2024-02-08,10897.1,Debit,Software & SaaS Tools - Feb 2024,JE1025
TXN0027,ACC013,DEPT09,PER002,2024-02-13,9190.25,Debit,Legal & Professional Fees - Feb 2024,JE1026
TXN0028,ACC014,DEPT08,PER002,2024-02-19,5043.38,Debit,Depreciation & Amortization - Feb 2024,JE1027
TXN0029,ACC001,DEPT02,PER003,2024-03-07,231183.81,Credit,Software Subscriptions - Mar 2024,JE1028
TXN0030,ACC002,DEPT06,PER003,2024-03-21,51535.88,Credit,Professional Services Revenue - Mar 2024,JE1029
TXN0031,ACC003,DEPT06,PER003,2024-03-05,23523.99,Credit,Support & Maintenance Revenue - Mar 2024,JE1030
TXN0032,ACC004,DEPT06,PER003,2024-03-24,8821.62,Credit,Training & Certification Revenue - Mar 2024,JE1031
TXN0033,ACC005,DEPT01,PER003,2024-03-12,47960.75,Debit,Cloud Infrastructure - Mar 2024,JE1032
TXN0034,ACC006,DEPT01,PER003,2024-03-17,11429.24,Debit,Third-Party Software Licenses - Mar 2024,JE1033
TXN0035,ACC007,DEPT06,PER003,2024-03-28,34763.24,Debit,Professional Services Delivery - Mar 2024,JE1034
TXN0036,ACC008,DEPT02,PER003,2024-03-26,93072.37,Debit,Salaries & Benefits - Mar 2024,JE1035
TXN0037,ACC009,DEPT03,PER003,2024-03-13,34412.93,Debit,Marketing & Advertising - Mar 2024,JE1036
TXN0038,ACC010,DEPT06,PER003,2024-03-17,4611.44,Debit,Travel & Entertainment - Mar 2024,JE1037
TXN0039,ACC011,DEPT08,PER003,2024-03-22,14521.62,Debit,Rent & Facilities - Mar 2024,JE1038
TXN0040,ACC012,DEPT04,PER003,2024-03-25,10798.43,Debit,Software & SaaS Tools - Mar 2024,JE1039
TXN0041,ACC013,DEPT09,PER003,2024-03-10,8048.24,Debit,Legal & Professional Fees - Mar 2024,JE1040
TXN0042,ACC014,DEPT08,PER003,2024-03-01,5702.12,Debit,Depreciation & Amortization - Mar 2024,JE1041
TXN0043,ACC001,DEPT02,PER004,2024-04-17,239967.9,Credit,Software Subscriptions - Apr 2024,JE1042
TXN0044,ACC002,DEPT06,PER004,2024-04-28,56835.54,Credit,Professional Services Revenue - Apr 2024,JE1043
TXN0045,ACC003,DEPT06,PER004,2024-04-05,26817.45,Credit,Support & Maintenance Revenue - Apr 2024,JE1044
TXN0046,ACC004,DEPT06,PER004,2024-04-18,10846.97,Credit,Training & Certification Revenue - Apr 2024,JE1045
TXN0047,ACC005,DEPT01,PER004,2024-04-20,59221.24,Debit,Cloud Infrastructure - Apr 2024,JE1046
TXN0048,ACC006,DEPT01,PER004,2024-04-04,13078.86,Debit,Third-Party Software Licenses - Apr 2024,JE1047
TXN0049,ACC007,DEPT06,PER004,2024-04-08,47550.21,Debit,Professional Services Delivery - Apr 2024,JE1048
TXN0050,ACC008,DEPT07,PER004,2024-04-03,91823.06,Debit,Salaries & Benefits - Apr 2024,JE1049
TXN0051,ACC009,DEPT03,PER004,2024-04-27,18855.47,Debit,Marketing & Advertising - Apr 2024,JE1050
TXN0052,ACC010,DEPT10,PER004,2024-04-25,2656.8,Debit,Travel & Entertainment - Apr 2024,JE1051
TXN0053,ACC011,DEPT08,PER004,2024-04-18,14030.02,Debit,Rent & Facilities - Apr 2024,JE1052
TXN0054,ACC012,DEPT07,PER004,2024-04-07,6771.48,Debit,Software & SaaS Tools - Apr 2024,JE1053
TXN0055,ACC013,DEPT09,PER004,2024-04-23,10452.63,Debit,Legal & Professional Fees - Apr 2024,JE1054
TXN0056,ACC014,DEPT08,PER004,2024-04-15,5428.66,Debit,Depreciation & Amortization - Apr 2024,JE1055
TXN0057,ACC001,DEPT02,PER005,2024-05-04,242982.63,Credit,Software Subscriptions - May 2024,JE1056
TXN0058,ACC002,DEPT06,PER005,2024-05-11,37886.28,Credit,Professional Services Revenue - May 2024,JE1057
TXN0059,ACC003,DEPT06,PER005,2024-05-19,17229.95,Credit,Support & Maintenance Revenue - May 2024,JE1058
TXN0060,ACC004,DEPT06,PER005,2024-05-23,8845.68,Credit,Training & Certification Revenue - May 2024,JE1059
TXN0061,ACC005,DEPT01,PER005,2024-05-03,51499.77,Debit,Cloud Infrastructure - May 2024,JE1060
TXN0062,ACC006,DEPT07,PER005,2024-05-03,21223.17,Debit,Third-Party Software Licenses - May 2024,JE1061
TXN0063,ACC007,DEPT06,PER005,2024-05-22,36960.64,Debit,Professional Services Delivery - May 2024,JE1062
TXN0064,ACC008,DEPT07,PER005,2024-05-05,122765.48,Debit,Salaries & Benefits - May 2024,JE1063
TXN0065,ACC009,DEPT03,PER005,2024-05-08,37219.29,Debit,Marketing & Advertising - May 2024,JE1064
TXN0066,ACC010,DEPT06,PER005,2024-05-07,7546.18,Debit,Travel & Entertainment - May 2024,JE1065
TXN0067,ACC011,DEPT08,PER005,2024-05-12,14136.7,Debit,Rent & Facilities - May 2024,JE1066
TXN0068,ACC012,DEPT07,PER005,2024-05-28,8960.68,Debit,Software & SaaS Tools - May 2024,JE1067
TXN0069,ACC013,DEPT09,PER005,2024-05-02,9116.47,Debit,Legal & Professional Fees - May 2024,JE1068
TXN0070,ACC014,DEPT08,PER005,2024-05-26,5858.85,Debit,Depreciation & Amortization - May 2024,JE1069
TXN0071,ACC001,DEPT02,PER006,2024-06-07,246636.94,Credit,Software Subscriptions - Jun 2024,JE1070
TXN0072,ACC002,DEPT06,PER006,2024-06-05,36405.91,Credit,Professional Services Revenue - Jun 2024,JE1071
TXN0073,ACC003,DEPT06,PER006,2024-06-15,24527.46,Credit,Support & Maintenance Revenue - Jun 2024,JE1072
TXN0074,ACC004,DEPT06,PER006,2024-06-15,9484.61,Credit,Training & Certification Revenue - Jun 2024,JE1073
TXN0075,ACC005,DEPT01,PER006,2024-06-02,57730.64,Debit,Cloud Infrastructure - Jun 2024,JE1074
TXN0076,ACC006,DEPT01,PER006,2024-06-03,18199.6,Debit,Third-Party Software Licenses - Jun 2024,JE1075
TXN0077,ACC007,DEPT06,PER006,2024-06-06,49633.05,Debit,Professional Services Delivery - Jun 2024,JE1076
TXN0078,ACC008,DEPT06,PER006,2024-06-07,120042.57,Debit,Salaries & Benefits - Jun 2024,JE1077
TXN0079,ACC009,DEPT03,PER006,2024-06-06,42108.7,Debit,Marketing & Advertising - Jun 2024,JE1078
TXN0080,ACC010,DEPT06,PER006,2024-06-09,4914.91,Debit,Travel & Entertainment - Jun 2024,JE1079
TXN0081,ACC011,DEPT08,PER006,2024-06-10,20192.97,Debit,Rent & Facilities - Jun 2024,JE1080
TXN0082,ACC012,DEPT07,PER006,2024-06-05,9155.21,Debit,Software & SaaS Tools - Jun 2024,JE1081
TXN0083,ACC013,DEPT09,PER006,2024-06-02,4978.68,Debit,Legal & Professional Fees - Jun 2024,JE1082
TXN0084,ACC014,DEPT08,PER006,2024-06-24,6598.17,Debit,Depreciation & Amortization - Jun 2024,JE1083
TXN0085,ACC001,DEPT02,PER007,2024-07-19,226239.43,Credit,Software Subscriptions - Jul 2024,JE1084
TXN0086,ACC002,DEPT06,PER007,2024-07-02,48982.93,Credit,Professional Services Revenue - Jul 2024,JE1085
TXN0087,ACC003,DEPT06,PER007,2024-07-28,34558.73,Credit,Support & Maintenance Revenue - Jul 2024,JE1086
TXN0088,ACC004,DEPT06,PER007,2024-07-22,8713.48,Credit,Training & Certification Revenue - Jul 2024,JE1087
TXN0089,ACC005,DEPT01,PER007,2024-07-04,60565.94,Debit,Cloud Infrastructure - Jul 2024,JE1088
TXN0090,ACC006,DEPT01,PER007,2024-07-19,22676.51,Debit,Third-Party Software Licenses - Jul 2024,JE1089
TXN0091,ACC007,DEPT06,PER007,2024-07-14,40964.0,Debit,Professional Services Delivery - Jul 2024,JE1090
TXN0092,ACC008,DEPT07,PER007,2024-07-17,140344.81,Debit,Salaries & Benefits - Jul 2024,JE1091
TXN0093,ACC009,DEPT03,PER007,2024-07-07,26918.36,Debit,Marketing & Advertising - Jul 2024,JE1092
TXN0094,ACC010,DEPT06,PER007,2024-07-08,7071.57,Debit,Travel & Entertainment - Jul 2024,JE1093
TXN0095,ACC011,DEPT08,PER007,2024-07-22,15972.58,Debit,Rent & Facilities - Jul 2024,JE1094
TXN0096,ACC012,DEPT07,PER007,2024-07-11,11184.24,Debit,Software & SaaS Tools - Jul 2024,JE1095
TXN0097,ACC013,DEPT09,PER007,2024-07-01,11166.18,Debit,Legal & Professional Fees - Jul 2024,JE1096
TXN0098,ACC014,DEPT08,PER007,2024-07-03,6315.46,Debit,Depreciation & Amortization - Jul 2024,JE1097
TXN0099,ACC001,DEPT02,PER008,2024-08-05,241806.45,Credit,Software Subscriptions - Aug 2024,JE1098
TXN0100,ACC002,DEPT06,PER008,2024-08-08,69196.89,Credit,Professional Services Revenue - Aug 2024,JE1099
TXN0101,ACC003,DEPT06,PER008,2024-08-15,24651.49,Credit,Support & Maintenance Revenue - Aug 2024,JE1100
TXN0102,ACC004,DEPT06,PER008,2024-08-20,19006.42,Credit,Training & Certification Revenue - Aug 2024,JE1101
TXN0103,ACC005,DEPT01,PER008,2024-08-22,65515.6,Debit,Cloud Infrastructure - Aug 2024,JE1102
TXN0104,ACC006,DEPT07,PER008,2024-08-22,21366.3,Debit,Third-Party Software Licenses - Aug 2024,JE1103
TXN0105,ACC007,DEPT06,PER008,2024-08-09,27107.6,Debit,Professional Services Delivery - Aug 2024,JE1104
TXN0106,ACC008,DEPT01,PER008,2024-08-24,104310.86,Debit,Salaries & Benefits - Aug 2024,JE1105
TXN0107,ACC009,DEPT03,PER008,2024-08-10,34596.71,Debit,Marketing & Advertising - Aug 2024,JE1106
TXN0108,ACC010,DEPT10,PER008,2024-08-11,6754.77,Debit,Travel & Entertainment - Aug 2024,JE1107
TXN0109,ACC011,DEPT08,PER008,2024-08-17,15865.9,Debit,Rent & Facilities - Aug 2024,JE1108
TXN0110,ACC012,DEPT01,PER008,2024-08-03,10103.67,Debit,Software & SaaS Tools - Aug 2024,JE1109
TXN0111,ACC013,DEPT09,PER008,2024-08-02,8927.99,Debit,Legal & Professional Fees - Aug 2024,JE1110
TXN0112,ACC014,DEPT08,PER008,2024-08-21,4812.76,Debit,Depreciation & Amortization - Aug 2024,JE1111
TXN0113,ACC001,DEPT02,PER009,2024-09-24,268510.1,Credit,Software Subscriptions - Sep 2024,JE1112
TXN0114,ACC002,DEPT06,PER009,2024-09-18,49568.7,Credit,Professional Services Revenue - Sep 2024,JE1113
TXN0115,ACC003,DEPT06,PER009,2024-09-23,18552.68,Credit,Support & Maintenance Revenue - Sep 2024,JE1114
TXN0116,ACC004,DEPT06,PER009,2024-09-27,20520.06,Credit,Training & Certification Revenue - Sep 2024,JE1115
TXN0117,ACC005,DEPT01,PER009,2024-09-14,48057.24,Debit,Cloud Infrastructure - Sep 2024,JE1116
TXN0118,ACC006,DEPT07,PER009,2024-09-12,11673.45,Debit,Third-Party Software Licenses - Sep 2024,JE1117
TXN0119,ACC007,DEPT06,PER009,2024-09-12,52031.31,Debit,Professional Services Delivery - Sep 2024,JE1118
TXN0120,ACC008,DEPT02,PER009,2024-09-22,113440.63,Debit,Salaries & Benefits - Sep 2024,JE1119
TXN0121,ACC009,DEPT03,PER009,2024-09-20,21523.05,Debit,Marketing & Advertising - Sep 2024,JE1120
TXN0122,ACC010,DEPT02,PER009,2024-09-28,7958.66,Debit,Travel & Entertainment - Sep 2024,JE1121
TXN0123,ACC011,DEPT08,PER009,2024-09-14,15894.39,Debit,Rent & Facilities - Sep 2024,JE1122
TXN0124,ACC012,DEPT04,PER009,2024-09-26,6337.54,Debit,Software & SaaS Tools - Sep 2024,JE1123
TXN0125,ACC013,DEPT09,PER009,2024-09-09,11656.75,Debit,Legal & Professional Fees - Sep 2024,JE1124
TXN0126,ACC014,DEPT08,PER009,2024-09-13,5485.05,Debit,Depreciation & Amortization - Sep 2024,JE1125
TXN0127,ACC001,DEPT02,PER010,2024-10-08,268608.34,Credit,Software Subscriptions - Oct 2024,JE1126
TXN0128,ACC002,DEPT06,PER010,2024-10-12,39981.31,Credit,Professional Services Revenue - Oct 2024,JE1127
TXN0129,ACC003,DEPT06,PER010,2024-10-08,24472.33,Credit,Support & Maintenance Revenue - Oct 2024,JE1128
TXN0130,ACC004,DEPT06,PER010,2024-10-13,6634.55,Credit,Training & Certification Revenue - Oct 2024,JE1129
TXN0131,ACC005,DEPT01,PER010,2024-10-25,47758.19,Debit,Cloud Infrastructure - Oct 2024,JE1130
TXN0132,ACC006,DEPT07,PER010,2024-10-22,14186.87,Debit,Third-Party Software Licenses - Oct 2024,JE1131
TXN0133,ACC007,DEPT06,PER010,2024-10-01,55660.93,Debit,Professional Services Delivery - Oct 2024,JE1132
TXN0134,ACC008,DEPT03,PER010,2024-10-06,108650.63,Debit,Salaries & Benefits - Oct 2024,JE1133
TXN0135,ACC009,DEPT03,PER010,2024-10-02,36893.43,Debit,Marketing & Advertising - Oct 2024,JE1134
TXN0136,ACC010,DEPT06,PER010,2024-10-12,3313.02,Debit,Travel & Entertainment - Oct 2024,JE1135
TXN0137,ACC011,DEPT08,PER010,2024-10-14,20464.09,Debit,Rent & Facilities - Oct 2024,JE1136
TXN0138,ACC012,DEPT01,PER010,2024-10-13,11554.33,Debit,Software & SaaS Tools - Oct 2024,JE1137
TXN0139,ACC013,DEPT09,PER010,2024-10-09,11620.67,Debit,Legal & Professional Fees - Oct 2024,JE1138
TXN0140,ACC014,DEPT08,PER010,2024-10-01,5166.45,Debit,Depreciation & Amortization - Oct 2024,JE1139
TXN0141,ACC001,DEPT02,PER011,2024-11-12,256015.94,Credit,Software Subscriptions - Nov 2024,JE1140
TXN0142,ACC002,DEPT06,PER011,2024-11-20,51121.65,Credit,Professional Services Revenue - Nov 2024,JE1141
TXN0143,ACC003,DEPT06,PER011,2024-11-24,25128.64,Credit,Support & Maintenance Revenue - Nov 2024,JE1142
TXN0144,ACC004,DEPT06,PER011,2024-11-22,21293.28,Credit,Training & Certification Revenue - Nov 2024,JE1143
TXN0145,ACC005,DEPT01,PER011,2024-11-23,51267.52,Debit,Cloud Infrastructure - Nov 2024,JE1144
TXN0146,ACC006,DEPT01,PER011,2024-11-07,14723.52,Debit,Third-Party Software Licenses - Nov 2024,JE1145
TXN0147,ACC007,DEPT06,PER011,2024-11-22,38901.73,Debit,Professional Services Delivery - Nov 2024,JE1146
TXN0148,ACC008,DEPT02,PER011,2024-11-20,159232.29,Debit,Salaries & Benefits - Nov 2024,JE1147
TXN0149,ACC009,DEPT03,PER011,2024-11-18,37265.23,Debit,Marketing & Advertising - Nov 2024,JE1148
TXN0150,ACC010,DEPT06,PER011,2024-11-10,8928.0,Debit,Travel & Entertainment - Nov 2024,JE1149
TXN0151,ACC011,DEPT08,PER011,2024-11-15,16907.9,Debit,Rent & Facilities - Nov 2024,JE1150
TXN0152,ACC012,DEPT03,PER011,2024-11-17,10317.94,Debit,Software & SaaS Tools - Nov 2024,JE1151
TXN0153,ACC013,DEPT09,PER011,2024-11-22,8048.19,Debit,Legal & Professional Fees - Nov 2024,JE1152
TXN0154,ACC014,DEPT08,PER011,2024-11-03,5424.34,Debit,Depreciation & Amortization - Nov 2024,JE1153
TXN0155,ACC001,DEPT02,PER012,2024-12-22,276558.02,Credit,Software Subscriptions - Dec 2024,JE1154
TXN0156,ACC002,DEPT06,PER012,2024-12-05,46624.09,Credit,Professional Services Revenue - Dec 2024,JE1155
TXN0157,ACC003,DEPT06,PER012,2024-12-16,19976.3,Credit,Support & Maintenance Revenue - Dec 2024,JE1156
TXN0158,ACC004,DEPT06,PER012,2024-12-15,16830.53,Credit,Training & Certification Revenue - Dec 2024,JE1157
TXN0159,ACC005,DEPT01,PER012,2024-12-23,52469.33,Debit,Cloud Infrastructure - Dec 2024,JE1158
TXN0160,ACC006,DEPT07,PER012,2024-12-13,21263.13,Debit,Third-Party Software Licenses - Dec 2024,JE1159
TXN0161,ACC007,DEPT06,PER012,2024-12-25,33929.49,Debit,Professional Services Delivery - Dec 2024,JE1160
TXN0162,ACC008,DEPT01,PER012,2024-12-25,171114.36,Debit,Salaries & Benefits - Dec 2024,JE1161
TXN0163,ACC009,DEPT03,PER012,2024-12-26,33317.25,Debit,Marketing & Advertising - Dec 2024,JE1162
TXN0164,ACC010,DEPT10,PER012,2024-12-15,10072.14,Debit,Travel & Entertainment - Dec 2024,JE1163
TXN0165,ACC011,DEPT08,PER012,2024-12-28,15991.7,Debit,Rent & Facilities - Dec 2024,JE1164
TXN0166,ACC012,DEPT03,PER012,2024-12-26,7604.36,Debit,Software & SaaS Tools - Dec 2024,JE1165
TXN0167,ACC013,DEPT09,PER012,2024-12-25,8128.25,Debit,Legal & Professional Fees - Dec 2024,JE1166
